tipo_evento,departamento,codigo_dane_departamento,municipio,codigo_dane_municipio,a_o,mes,evento,tipo_lugar,tipo_area,latitud_cabecera,longitud_cabecera,sitio,geocoded_column
Desminado militar en operaciones,META,50,PUERTO RICO,50590,2016,10,Incidente,Sin informacion,Rural,2.71944444444,-73.1752777778,ESPERANZA,"{'type': 'Point', 'coordinates': [-73.1752777778, 2.71944444444]}"
Desminado militar en operaciones,NARIÑO,52,RICAURTE,52612,2016,10,Incidente,Sin informacion,Rural,1.18305555556,-77.9775,SAN ISIDRO,"{'type': 'Point', 'coordinates': [-77.9775, 1.18305555556]}"
Accidente por MAP,SUCRE,70,CHALÁN,70230,2016,10,Accidente,Fincas,Rural,9.548344,-75.31689,VEREDA EL PARAISO,"{'type': 'Point', 'coordinates': [-75.31689, 9.548344]}"
Desminado militar en operaciones,META,50,PUERTO RICO,50590,2016,10,Incidente,Sin informacion,Rural,2.75666666667,-73.3447222222,DANUBIO,"{'type': 'Point', 'coordinates': [-73.3447222222, 2.75666666667]}"
Desminado militar en operaciones,META,50,URIBE,50370,2003,9,Incidente,Sin informacion,Rural,3.247058,-74.349031,Sin información,"{'type': 'Point', 'coordinates': [-74.349031, 3.247058]}"
Incautaciones,ANTIOQUIA,5,SAN CARLOS,5649,2015,9,Incidente,Caminos,Rural,6.15373,-74.93508,SCM_BIDES_2015_4664,"{'type': 'Point', 'coordinates': [-74.93508, 6.15373]}"
Accidente por MUSE,HUILA,41,IQUIRA,41357,2016,12,Accidente,Sin informacion,Rural,2.648539,-75.635806,VEREDA  QUEBRADON,"{'type': 'Point', 'coordinates': [-75.635806, 2.648539]}"
Desminado militar en operaciones,CUNDINAMARCA,25,GUTIÉRREZ,25339,2017,1,Incidente,Sin informacion,Rural,4.2025,-73.9752777778,EL TUNQUE,"{'type': 'Point', 'coordinates': [-73.9752777778, 4.2025]}"
Desminado militar en operaciones,META,50,URIBE,50370,2016,11,Incidente,Sin informacion,Rural,2.76305555556,-74.2077777778,BELLEZA,"{'type': 'Point', 'coordinates': [-74.2077777778, 2.76305555556]}"
Desminado militar en operaciones,HUILA,41,ALGECIRAS,41020,2016,11,Incidente,Sin informacion,Rural,2.45305555556,-75.4136111111,MANZANARES,"{'type': 'Point', 'coordinates': [-75.4136111111, 2.45305555556]}"
Desminado militar en operaciones,ARAUCA,81,TAME,81794,2016,12,Incidente,Sin informacion,Rural,6.4825,-71.7505555556,GUALABAO,"{'type': 'Point', 'coordinates': [-71.7505555556, 6.4825]}"
